Word 	 Count 	 FPos 	 LPos 	 Dmin 	 AvgD 	 Dmax 
 incognito 	 1 	 89434 	 89434 	 0 	 0.00 	 0 
 pounds.' 	 2 	 97557 	 202945 	 105388 	 105388.00 	 105388 
 name,' 	 1 	 98236 	 98236 	 0 	 0.00 	 0 
 buffalo 	 1 	 117760 	 117760 	 0 	 0.00 	 0 
 still,' 	 1 	 122909 	 122909 	 0 	 0.00 	 0 
 madam,' 	 1 	 159556 	 159556 	 0 	 0.00 	 0 
 didn't.' 	 1 	 210883 	 210883 	 0 	 0.00 	 0 
 mere.' 	 1 	 229877 	 229877 	 0 	 0.00 	 0 
 'to' 	 1 	 236089 	 236089 	 0 	 0.00 	 0 
 home.' 	 1 	 247023 	 247023 	 0 	 0.00 	 0 
 hurry.' 	 1 	 261538 	 261538 	 0 	 0.00 	 0 
 break? 	 1 	 376843 	 376843 	 0 	 0.00 	 0 
 family? 	 1 	 411276 	 411276 	 0 	 0.00 	 0 
 yonder? 	 2 	 413811 	 431514 	 17703 	 17703.00 	 17703 
 arrest? 	 1 	 461947 	 461947 	 0 	 0.00 	 0 
 writing? 	 2 	 495347 	 528228 	 32881 	 32881.00 	 32881 
 print? 	 1 	 528190 	 528190 	 0 	 0.00 	 0 
 'matches.' 	 1 	 528882 	 528882 	 0 	 0.00 	 0 
 high-stepping 	 1 	 649449 	 649449 	 0 	 0.00 	 0 
 South 	 39 	 39717 	 641473 	 5 	 15835.68 	 231383 
 foolish 	 19 	 52042 	 618050 	 492 	 31444.89 	 127069 
 lump 	 4 	 60907 	 646715 	 47924 	 195269.33 	 289239 
 flash 	 14 	 102792 	 655192 	 20 	 42492.31 	 165176 
 thirty-six 	 3 	 127922 	 177412 	 1374 	 24745.00 	 48116 
 Irish 	 8 	 238542 	 575891 	 1621 	 48192.71 	 241674 
 Study 	 10 	 12 	 574989 	 832 	 63886.33 	 278262 
 "My 	 198 	 2741 	 654646 	 4 	 3309.16 	 28810 
 carefully 	 62 	 10091 	 638849 	 113 	 10307.51 	 50993 
 Torquay 	 3 	 15871 	 38664 	 1176 	 11396.50 	 21617 
 'I 	 65 	 17400 	 653524 	 7 	 9939.44 	 111323 
 unmanly 	 1 	 17726 	 17726 	 0 	 0.00 	 0 
 essentially 	 1 	 34849 	 34849 	 0 	 0.00 	 0 
 calmly 	 3 	 37382 	 562325 	 230308 	 262471.50 	 294635 
